y,x1,x2,x3,x4
2,50,70,52,1
1,230,65,42,6.9
0,125,70,45,1
4,75,65,68,0.5
1,70,65,53,0.5
2,65,70,46,3
0,65,60,62,1
0,350,60,54,0.5
4,350,90,54,0.5
4,160,80,38,0
1,145,65,38,10
4,145,85,38,0
1,180,70,42,2
5,43,80,40,0
2,42,85,51,12
5,42,85,51,0
5,45,85,42,0
5,83,85,48,10
0,300,65,68,10
5,190,90,84,6
1,145,90,54,12
1,510,80,57,10
3,65,75,68,5
3,470,90,90,9
2,300,80,165,9
2,275,90,40,4
0,420,50,44,17
1,65,80,48,15
5,40,75,51,15
2,900,90,48,35
3,95,88,36,20
3,40,85,57,10
3,140,90,38,7
0,150,50,44,5
0,80,60,96,5
2,80,85,96,5
0,145,65,72,9
0,100,65,72,9
3,150,80,48,3
2,150,80,48,0
3,210,75,42,2
5,11,75,42,0
0,100,65,60,25
3,50,88,60,25
